###  Translation from RTF performed by UnRTF, version 0.21.9 

TITLE: 
### creation date: 18 December 2018 07:17 
### font table contains 2 fonts total

-----------------

	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Algeria	Current Health Expenditure (CHE) per Capita in US$		61	67	66	75	92	100	116	150	206	207	228
	Angola	Current Health Expenditure (CHE) per Capita in US$		13	29	29	35	50	54	69	92	135	120	97
	Benin	Current Health Expenditure (CHE) per Capita in US$		16	17	17	22	24	24	25	28	30	31	31
	Botswana	Current Health Expenditure (CHE) per Capita in US$		195	206	145	241	305	281	269	300	321	350	381
	Burkina Faso	Current Health Expenditure (CHE) per Capita in US$		8	8	9	12	18	18	21	28	30	32	34
	Burundi	Current Health Expenditure (CHE) per Capita in US$		8	9	8	7	10	13	16	18	18	22	26
	Cameroon	Current Health Expenditure (CHE) per Capita in US$		26	28	31	39	42	43	44	51	61	58	59


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Cabo Verde Republic of	Current Health Expenditure (CHE) per Capita in US$		62	66	71	87	96	98	115	130	130	133	148
	Central African Republic	Current Health Expenditure (CHE) per Capita in US$		12	10	11	13	13	15	16	19	18	20	17
	Chad	Current Health Expenditure (CHE) per Capita in US$		10	12	18	18	28	32	35	35	38	36	36
	Comoros	Current Health Expenditure (CHE) per Capita in US$		46	43	48	57	63	62	62	68	72	68	67
	Congo	Current Health Expenditure (CHE) per Capita in US$		17	20	17	21	27	31	36	42	63	49	55
	Côte d'Ivoire	Current Health Expenditure (CHE) per Capita in US$		36	32	32	40	48	50	55	67	76	76	75
	Democratic Republic of the Congo	Current Health Expenditure (CHE) per Capita in US$		20	6	5	7	9	9	11	12	16	14	13


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Equatorial Guinea	Current Health Expenditure (CHE) per Capita in US$		44	56	69	98	133	151	185	232	292	279	263
	Eritrea	Current Health Expenditure (CHE) per Capita in US$		9	10	11	13	16	15	16	13	13	19	17
	Ethiopia	Current Health Expenditure (CHE) per Capita in US$		5	6	5	6	6	7	8	11	13	15	17
	Gabon	Current Health Expenditure (CHE) per Capita in US$		127	125	137	173	189	198	221	263	282	294	217
	Gambia	Current Health Expenditure (CHE) per Capita in US$		23	20	17	15	18	21	24	30	36	32	32
	Ghana	Current Health Expenditure (CHE) per Capita in US$		17	20	20	24	28	43	49	59	68	67	80
	Guinea	Current Health Expenditure (CHE) per Capita in US$		17	16	19	19	18	14	13	19	19	19	20


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Guinea-Bissau	Current Health Expenditure (CHE) per Capita in US$		21	18	16	21	27	27	27	34	41	36	35
	Kenya	Current Health Expenditure (CHE) per Capita in US$		21	22	22	25	28	31	41	50	55	55	59
	Lesotho	Current Health Expenditure (CHE) per Capita in US$		29	28	24	33	42	42	49	65	68	80	93
	Liberia	Current Health Expenditure (CHE) per Capita in US$		12	10	8	7	22	26	24	36	35	44	45
	Madagascar	Current Health Expenditure (CHE) per Capita in US$		13	16	15	15	13	15	16	20	21	20	22
	Malawi	Current Health Expenditure (CHE) per Capita in US$		9	8	11	12	16	17	21	25	32	35	33
	Mali	Current Health Expenditure (CHE) per Capita in US$		14	13	15	18	23	24	27	31	33	33	31


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Mauritania	Current Health Expenditure (CHE) per Capita in US$		21	22	24	27	29	31	32	37	45	41	40
	Mauritius	Current Health Expenditure (CHE) per Capita in US$		119	119	136	162	190	198	209	236	322	310	367
	Mozambique	Current Health Expenditure (CHE) per Capita in US$		10	13	13	15	17	23	23	23	23	23	21
	Namibia	Current Health Expenditure (CHE) per Capita in US$		213	188	177	275	362	443	471	459	397	341	492
	Niger	Current Health Expenditure (CHE) per Capita in US$		9	10	11	13	15	19	20	21	25	24	23
	Nigeria	Current Health Expenditure (CHE) per Capita in US$		15	16	16	35	39	47	61	68	81	68	76
	Rwanda	Current Health Expenditure (CHE) per Capita in US$		10	9	8	19	22	27	32	39	45	49	53


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Sao Tome and Principe	Current Health Expenditure (CHE) per Capita in US$		64	60	61	82	82	93	70	73	80	79	77
	Senegal	Current Health Expenditure (CHE) per Capita in US$		21	24	26	35	42	36	38	39	47	48	49
	Seychelles	Current Health Expenditure (CHE) per Capita in US$		354	336	351	385	411	407	418	372	276	239	380
	Sierra Leone	Current Health Expenditure (CHE) per Capita in US$		23	25	29	29	29	32	34	36	40	43	44
	South Africa	Current Health Expenditure (CHE) per Capita in US$		222	195	169	254	323	354	362	386	372	413	540
	Swaziland	Current Health Expenditure (CHE) per Capita in US$		75	66	61	102	132	165	178	185	201	210	313
	Togo	Current Health Expenditure (CHE) per Capita in US$		10	10	11	14	15	16	17	19	24	26	31


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Uganda	Current Health Expenditure (CHE) per Capita in US$		19	20	22	22	31	38	43	52	57	55	63
	United Republic of Tanzania	Current Health Expenditure (CHE) per Capita in US$		13	15	17	20	23	27	35	35	35	33	36
	Zambia	Current Health Expenditure (CHE) per Capita in US$		24	25	26	31	37	47	61	48	55	50	54
	Zimbabwe	Current Health Expenditure (CHE) per Capita in US$												85
	Antigua and Barbuda	Current Health Expenditure (CHE) per Capita in US$		384	413	410	436	428	518	590	668	724	593	664
	Argentina	Current Health Expenditure (CHE) per Capita in US$		705	672	223	261	300	391	448	552	694	743	891
	Bahamas	Current Health Expenditure (CHE) per Capita in US$		1,084	1,092	1,177	1,213	1,293	1,373	1,611	1,694	1,721	1,646	1,657


